"","Responses","Invited","Season","Response Rate","unit_name","code","unit_code","Level","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13"
"1",2,2,"2019_S1",100,"Introduction to financial accounting","ACB1100_PENINSULA_ESP-EC_ON_S1-01","CB1100",1,4.5,3,3.5,2.5,3.5,3.5,4.5,4,4,4.5,3.5,4.5,3.5
"2",66,109,"2019_S1",60.55,"Introduction to financial accounting","ACB1100_PENINSULA_ON-CAMPUS_ON_S1-01","CB1100",1,4.23,4.12,4.31,4.04,4.13,4.18,4.37,4.14,4.13,4.23,4.2,4.53,4.04
"3",45,93,"2019_S1",48.39,"Accounting for managers","ACB1200_PENINSULA_ON-CAMPUS_ON_S1-01","CB1200",2,4.47,4.3,4.42,4.26,4.04,4.26,4.54,4.42,4.23,4.23,4.33,4.52,4.14
"4",32,64,"2019_S1",50,"Cost information for decision making","ACB2020_PENINSULA_ON-CAMPUS_ON_S1-01","CB2020",0,4.23,4.1,4.25,4.25,4.32,4.25,4.41,4.23,4.42,4.43,4.56,4.5,4.42
"5",28,66,"2019_S1",42.42,"Company reporting","ACB2491_PENINSULA_ON-CAMPUS_ON_S1-01","CB2491",4,4.39,4.66,4.6,4.38,4.45,4.33,4.45,4.35,4.54,4.6,4.54,4.45,4.45
"6",2,4,"2019_S1",50,"Introduction to financial accounting","ACC1100_CLAYTON_ESP-EC_ON_S1-01","CC1100",1,4,4,4,4,4,4,3.5,4,4,4,4,3,4
"7",291,673,"2019_S1",43.24,"Introduction to financial accounting","ACC1100_CLAYTON_ON-CAMPUS_ON_S1-01","CC1100",1,4.11,3.77,4.04,3.69,3.9,4.05,4.18,3.81,4.03,4.12,4.02,3.93,3.75
"8",151,434,"2019_S1",34.79,"Accounting for managers","ACC1200_CLAYTON_ON-CAMPUS_ON_S1-01","CC1200",2,3.93,3.93,3.88,3.39,3.81,3.82,4.08,3.65,3.85,4.22,3.99,4.08,3.79
"9",98,267,"2019_S1",36.7,"Financial accounting","ACC2100_CLAYTON_ON-CAMPUS_ON_S1-01","CC2100",1,4.33,4.36,4.32,4.17,4.18,4.24,4.51,4.19,4.23,4.39,4.26,4.17,4.27
"10",128,251,"2019_S1",51,"Introduction to management accounting","ACC2200_CLAYTON_ON-CAMPUS_ON_S1-01","CC2200",2,4.09,3.95,3.92,3.79,3.98,4.05,4.33,3.94,3.95,4.19,4.09,4.15,4.03
"11",108,212,"2019_S1",50.94,"Accounting information systems","ACC2400_CLAYTON_ON-CAMPUS_ON_S1-01","CC2400",4,4.29,4.09,4.19,4.17,4.18,4.3,4.47,4.24,4.16,4.24,4.31,4.51,4.16
"12",86,229,"2019_S1",37.55,"Advanced financial accounting","ACC3100_CLAYTON_ON-CAMPUS_ON_S1-01","CC3100",1,4.28,4.2,4.18,3.99,4.15,4.17,4.31,4.15,4.19,4.24,4.36,4.09,4.21
"13",64,205,"2019_S1",31.22,"Management accounting","ACC3200_CLAYTON_ON-CAMPUS_ON_S1-01","CC3200",2,4.21,4,4.03,3.9,3.86,4,4.1,3.98,3.96,4.22,4.05,4.07,4
"14",89,181,"2019_S1",49.17,"Auditing and assurance","ACC3600_CLAYTON_ON-CAMPUS_ON_S1-01","CC3600",6,4.17,4.08,4.13,4.03,4.09,4.03,4.14,4.02,4.04,4.29,4,4.15,4.03
"15",2,12,"2019_S1",16.67,"Accounting for business","ACC5903_CLAYTON_EVENING_ON_S1-01","CC5903",9,3,3,3,3,3,3,3,2.5,3,2.5,2.5,2.5,2.5
"16",212,306,"2019_S1",69.28,"Accounting for business","ACC5903_CLAYTON_ON-CAMPUS_ON_S1-01","CC5903",9,4.51,4.51,4.48,4.45,4.45,4.47,4.52,4.42,4.54,4.5,4.47,4.49,4.47
"17",4,4,"2019_S1",100,"Introduction to financial accounting","ACF1100_CAULFIELD_ESP-EC_ON_S1-01","CF1100",1,4.83,4.17,4,3.5,3.5,3.5,4.83,4.17,4.17,4.17,4.5,3,4.17
"18",229,526,"2019_S1",43.54,"Introduction to financial accounting","ACF1100_CAULFIELD_ON-CAMPUS_ON_S1-01","CF1100",1,4.19,4.05,4.17,4.04,4.1,4.12,4.28,4.11,4.17,4.26,4.13,4.2,4.03
"19",18,21,"2019_S1",85.71,"Introduction to financial accounting","ACF1100_CITY_ON-CAMPUS_ON_TRI-A-29","CF1100",1,4.5,4.5,4.4,4.44,4.19,4.28,4.39,4.25,4.4,4.36,4.3,4.25,4.13
"20",271,636,"2019_S1",42.61,"Accounting for managers","ACF1200_CAULFIELD_ON-CAMPUS_ON_S1-01","CF1200",2,4.1,4.08,4.05,3.79,3.98,4.07,4.06,3.92,3.99,4.22,4.11,4.18,3.88
"21",54,74,"2019_S1",72.97,"Accounting for managers","ACF1200_CITY_ON-CAMPUS_ON_TRI-A-29","CF1200",2,3.89,4.02,3.98,3.77,3.96,3.83,3.83,3.86,4,4.07,4,3.71,3.75
"22",140,282,"2019_S1",49.65,"Financial accounting","ACF2100_CAULFIELD_ON-CAMPUS_ON_S1-01","CF2100",1,4.34,4.4,4.39,4.29,4.25,4.28,4.51,4.31,4.31,4.38,4.21,4.17,4.22
"23",7,14,"2019_S1",50,"Financial accounting","ACF2100_CITY_ON-CAMPUS_ON_TRI-A-29","CF2100",1,4,4,4,4.13,4.2,4,4.38,4,4.38,4.33,4.33,4.38,4.38
"24",188,355,"2019_S1",52.96,"Introduction to management accounting","ACF2200_CAULFIELD_ON-CAMPUS_ON_S1-01","CF2200",2,4.12,4.13,4.1,3.98,4.05,4.02,4.22,3.98,4.03,4.16,4.16,4.18,4.08
"25",7,10,"2019_S1",70,"Introduction to management accounting","ACF2200_CITY_ON-CAMPUS_ON_TRI-A-29","CF2200",2,4.63,4.25,4.38,4.63,4.63,4.33,4.25,4.63,4.33,4.33,4.38,4.63,4.33
"26",136,337,"2019_S1",40.36,"Accounting information systems","ACF2400_CAULFIELD_ON-CAMPUS_ON_S1-01","CF2400",4,4.18,4.23,4.21,4.21,4.24,4.22,4.26,4.21,4.29,4.19,4.26,4.31,4.21
"27",17,31,"2019_S1",54.84,"Accounting information systems","ACF2400_CITY_ON-CAMPUS_ON_TRI-A-29","CF2400",4,4.56,4.65,4.73,4.73,4.56,4.65,4.65,4.65,4.65,4.73,4.73,4.73,4.73
"28",112,318,"2019_S1",35.22,"Advanced financial accounting","ACF3100_CAULFIELD_ON-CAMPUS_ON_S1-01","CF3100",1,4.36,4.29,4.3,4.27,4.28,4.33,4.35,4.27,4.23,4.27,4.28,4.3,4.24
"29",87,270,"2019_S1",32.22,"Management accounting","ACF3200_CAULFIELD_ON-CAMPUS_ON_S1-01","CF3200",2,4.42,4.35,4.35,4.32,4.3,4.45,4.36,4.31,4.3,4.51,4.51,4.38,4.36
"30",2,11,"2019_S1",18.18,"Management accounting","ACF3200_CITY_ON-CAMPUS_ON_TRI-A-29","CF3200",2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
"31",144,293,"2019_S1",49.15,"Auditing and assurance","ACF3600_CAULFIELD_ON-CAMPUS_ON_S1-01","CF3600",6,4.29,4.29,4.26,4.24,4.19,4.22,4.37,4.18,4.2,4.38,4.2,4.32,4.25
"32",44,114,"2019_S1",38.6,"Global issues in accounting","ACF3900_CAULFIELD_ON-CAMPUS_ON_S1-01","CF3900",9,3.91,3.82,4,3.85,4.09,4.03,4.27,4,4.02,4.08,4.06,4.28,4.33
"33",29,48,"2019_S1",60.42,"Management control systems","ACF5080_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5080",0,4.78,4.81,4.65,4.81,4.84,4.81,4.81,4.81,4.78,4.81,4.74,4.87,4.78
"34",13,15,"2019_S1",86.67,"Strategic management accounting","ACF5100_CAULFIELD_EVENING_ON_S1-01","CF5100",1,4.13,4.78,4.57,4.4,4.69,4.64,4.43,4.57,4.42,4.57,4.33,4.43,4.43
"35",188,217,"2019_S1",86.64,"Strategic management accounting","ACF5100_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5100",1,4.28,4.26,4.29,4.29,4.28,4.31,4.35,4.21,4.25,4.2,4.3,4.37,4.26
"36",55,80,"2019_S1",68.75,"Forensic accounting and fraud examination","ACF5120_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5120",1,4.24,4.17,4.11,4.07,4.21,4.22,4.55,4.18,4.16,4.16,4.15,4.34,4.13
"37",101,168,"2019_S1",60.12,"Financial statement analysis and business valuation","ACF5130_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5130",1,4.27,4.4,4.33,4.19,4.28,4.22,4.33,4.28,4.4,4.44,4.36,4.25,4.35
"38",61,85,"2019_S1",71.76,"Financial reporting issues","ACF5150_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5150",1,4.32,4.48,4.52,4.41,4.48,4.52,4.69,4.52,4.38,4.3,4.38,4.48,4.3
"39",51,106,"2019_S1",48.11,"Business analytics","ACF5320_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5320",3,3.86,3.67,3.75,3.69,3.94,3.81,4.23,3.67,3.81,3.92,4.09,3.98,4.12
"40",37,60,"2019_S1",61.67,"Integrated systems for business enterprises","ACF5330_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5330",3,4.42,4.47,4.47,4.58,4.41,4.35,4.47,4.62,4.47,4.42,4.5,4.53,4.5
"41",10,26,"2019_S1",38.46,"Applied contemporary accounting","ACF5350_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5350",3,4.5,4.67,4.3,4.17,4.3,4.5,4.75,4.3,4.3,4.5,4.17,4.33,4.17
"42",97,153,"2019_S1",63.4,"Integrated accounting","ACF5510_CAULFIELD_ON-CAMPUS_ON_S1-01","CF5510",5,4.3,4.38,4.28,4.23,4.36,4.25,4.39,4.28,4.25,4.26,4.27,4.38,4.31
